category,sequence,canonical_name,asset_role,filename,relative_path,preferred,notes
USER,1,Car,QR,01_Car_Back_QR.png,Resources/UserCards/01_Car_Back_QR.png,true,
USER,2,Helicopter,QR,02_Helicopter_Back_QR.png,Resources/UserCards/02_Helicopter_Back_QR.png,true,
USER,3,Ship,QR,03_Ship_Back_QR.png,Resources/UserCards/03_Ship_Back_QR.png,true,
USER,4,Aeroplane,QR,04_Aeroplane_Back_QR.png,Resources/UserCards/04_Aeroplane_Back_QR.png,true,
USER,,,LEGACY_BACK,Aeroplane_Back.png,Resources/UserCards/Aeroplane_Back.png,false,Ignored legacy hardware barcode
USER,4,Aeroplane,FRONT,Aeroplane_Front.jpg,Resources/UserCards/Aeroplane_Front.jpg,true,Preferred front display asset
USER,,,LEGACY_BACK,Car_Back.png,Resources/UserCards/Car_Back.png,false,Ignored legacy hardware barcode
USER,1,Car,FRONT,Car_Front.jpg,Resources/UserCards/Car_Front.jpg,true,Preferred front display asset
USER,,,LEGACY_BACK,Helicopter_Back.png,Resources/UserCards/Helicopter_Back.png,false,Ignored legacy hardware barcode
USER,2,Helicopter,FRONT,Helicopter_Front.jpg,Resources/UserCards/Helicopter_Front.jpg,true,Preferred front display asset
USER,,,LEGACY_BACK,Ship_Back.png,Resources/UserCards/Ship_Back.png,false,Ignored legacy hardware barcode
USER,3,Ship,FRONT,Ship_Front.jpg,Resources/UserCards/Ship_Front.jpg,true,Preferred front display asset
USER,,,OTHER,Template.jpg,Resources/UserCards/Template.jpg,false,Non-card asset
EVENT,,,LEGACY_BACK,Boom_Town_Back.png,Resources/EventCards/Boom_Town_Back.png,false,Ignored legacy hardware barcode
EVENT,1,Boom Town,FRONT,Boom_Town_Front.png,Resources/EventCards/Boom_Town_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,Crime_Down_Back.png,Resources/EventCards/Crime_Down_Back.png,false,Ignored legacy hardware barcode
EVENT,2,Crime Down,FRONT,Crime_Down_Front.png,Resources/EventCards/Crime_Down_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,Deal_Of_The_Week_Back.png,Resources/EventCards/Deal_Of_The_Week_Back.png,false,Ignored legacy hardware barcode
EVENT,3,Deal Of The Week,FRONT,Deal_Of_The_Week_Front.png,Resources/EventCards/Deal_Of_The_Week_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,Demolished_Back.png,Resources/EventCards/Demolished_Back.png,false,Ignored legacy hardware barcode
EVENT,4,Demolished,FRONT,Demolished_Front.png,Resources/EventCards/Demolished_Front.png,true,Preferred front display asset
EVENT,1,Boom Town,QR,E01_Boom_Town_Back_QR.png,Resources/EventCards/E01_Boom_Town_Back_QR.png,true,
EVENT,2,Crime Down,QR,E02_Crime_Down_Back_QR.png,Resources/EventCards/E02_Crime_Down_Back_QR.png,true,
EVENT,3,Deal Of The Week,QR,E03_Deal_Of_The_Week_Back_QR.png,Resources/EventCards/E03_Deal_Of_The_Week_Back_QR.png,true,
EVENT,4,Demolished,QR,E04_Demolished_Back_QR.png,Resources/EventCards/E04_Demolished_Back_QR.png,true,
EVENT,5,Grand Designs,QR,E05_Grand_Designs_Back_QR.png,Resources/EventCards/E05_Grand_Designs_Back_QR.png,true,
EVENT,6,Haunted House,QR,E06_Haunted_House_Back_QR.png,Resources/EventCards/E06_Haunted_House_Back_QR.png,true,
EVENT,7,Highway Tax,QR,E07_Highway_Tax_Back_QR.png,Resources/EventCards/E07_Highway_Tax_Back_QR.png,true,
EVENT,8,House Party,QR,E08_House_Party_Back_QR.png,Resources/EventCards/E08_House_Party_Back_QR.png,true,
EVENT,9,In The Money,QR,E09_In_The_Money_Back_QR.png,Resources/EventCards/E09_In_The_Money_Back_QR.png,true,
EVENT,10,It's A Boy!,QR,E10_Its_A_Boy_Back_QR.png,Resources/EventCards/E10_Its_A_Boy_Back_QR.png,true,
EVENT,11,Love Is In The Air,QR,E11_Love_Is_In_The_Air_Back_QR.png,Resources/EventCards/E11_Love_Is_In_The_Air_Back_QR.png,true,
EVENT,12,On The Map,QR,E12_On_The_Map_Back_QR.png,Resources/EventCards/E12_On_The_Map_Back_QR.png,true,
EVENT,13,On The Run,QR,E13_On_The_Run_Back_QR.png,Resources/EventCards/E13_On_The_Run_Back_QR.png,true,
EVENT,14,Pick Your Own,QR,E14_Pick_Your_Own_Back_QR.png,Resources/EventCards/E14_Pick_Your_Own_Back_QR.png,true,
EVENT,15,Pong! What A Stinker,QR,E15_Pong_What_A_Stinker_Back_QR.png,Resources/EventCards/E15_Pong_What_A_Stinker_Back_QR.png,true,
EVENT,16,Rover's Revenge,QR,E16_Rovers_Revenge_Back_QR.png,Resources/EventCards/E16_Rovers_Revenge_Back_QR.png,true,
EVENT,17,Stargazing,QR,E17_Stargazing_Back_QR.png,Resources/EventCards/E17_Stargazing_Back_QR.png,true,
EVENT,18,Stop The Presses,QR,E18_Stop_The_Presses_Back_QR.png,Resources/EventCards/E18_Stop_The_Presses_Back_QR.png,true,
EVENT,19,'Tis The Season,QR,E19_Tis_The_Season_Back_QR.png,Resources/EventCards/E19_Tis_The_Season_Back_QR.png,true,
EVENT,20,Tornado Alley,QR,E20_Tornado_Alley_Back_QR.png,Resources/EventCards/E20_Tornado_Alley_Back_QR.png,true,
EVENT,21,Total Gridlock,QR,E21_Total_Gridlock_Back_QR.png,Resources/EventCards/E21_Total_Gridlock_Back_QR.png,true,
EVENT,22,What A Ride!,QR,E22_What_A_Ride_Back_QR.png,Resources/EventCards/E22_What_A_Ride_Back_QR.png,true,
EVENT,23,Wibble Wobble,QR,E23_Wibble_Wobble_Back_QR.png,Resources/EventCards/E23_Wibble_Wobble_Back_QR.png,true,
EVENT,,,OTHER,EventCards.zip,Resources/EventCards/EventCards.zip,false,Non-card asset
EVENT,,,LEGACY_BACK,Grand_Designs_Back.png,Resources/EventCards/Grand_Designs_Back.png,false,Ignored legacy hardware barcode
EVENT,5,Grand Designs,FRONT,Grand_Designs_Front.png,Resources/EventCards/Grand_Designs_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,Haunted_House_Back.png,Resources/EventCards/Haunted_House_Back.png,false,Ignored legacy hardware barcode
EVENT,6,Haunted House,FRONT,Haunted_House_Front.png,Resources/EventCards/Haunted_House_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,Highway_Tax_Back.png,Resources/EventCards/Highway_Tax_Back.png,false,Ignored legacy hardware barcode
EVENT,7,Highway Tax,FRONT,Highway_Tax_Front.png,Resources/EventCards/Highway_Tax_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,House_Party_Back.png,Resources/EventCards/House_Party_Back.png,false,Ignored legacy hardware barcode
EVENT,8,House Party,FRONT,House_Party_Front.png,Resources/EventCards/House_Party_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,In_The_Money_Back.png,Resources/EventCards/In_The_Money_Back.png,false,Ignored legacy hardware barcode
EVENT,9,In The Money,FRONT,In_The_Money_Front.png,Resources/EventCards/In_The_Money_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,Its_A_Boy_Back.png,Resources/EventCards/Its_A_Boy_Back.png,false,Ignored legacy hardware barcode
EVENT,10,It's A Boy!,FRONT,Its_A_Boy_Front.png,Resources/EventCards/Its_A_Boy_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,Love_Is_In_The_Air_Back.png,Resources/EventCards/Love_Is_In_The_Air_Back.png,false,Ignored legacy hardware barcode
EVENT,11,Love Is In The Air,FRONT,Love_Is_In_The_Air_Front.png,Resources/EventCards/Love_Is_In_The_Air_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,On_The_Map_Back.png,Resources/EventCards/On_The_Map_Back.png,false,Ignored legacy hardware barcode
EVENT,12,On The Map,FRONT,On_The_Map_Front.png,Resources/EventCards/On_The_Map_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,On_The_Run_Back.png,Resources/EventCards/On_The_Run_Back.png,false,Ignored legacy hardware barcode
EVENT,13,On The Run,FRONT,On_The_Run_Front.png,Resources/EventCards/On_The_Run_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,Pick_Your_Own_Back.png,Resources/EventCards/Pick_Your_Own_Back.png,false,Ignored legacy hardware barcode
EVENT,14,Pick Your Own,FRONT,Pick_Your_Own_Front.png,Resources/EventCards/Pick_Your_Own_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,Pong_What_A_Stinker_Back.png,Resources/EventCards/Pong_What_A_Stinker_Back.png,false,Ignored legacy hardware barcode
EVENT,15,Pong! What A Stinker,FRONT,Pong_What_A_Stinker_Front.png,Resources/EventCards/Pong_What_A_Stinker_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,Rovers_Revenge_Back.png,Resources/EventCards/Rovers_Revenge_Back.png,false,Ignored legacy hardware barcode
EVENT,16,Rover's Revenge,FRONT,Rovers_Revenge_Front.png,Resources/EventCards/Rovers_Revenge_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,Stargazing_Back.png,Resources/EventCards/Stargazing_Back.png,false,Ignored legacy hardware barcode
EVENT,17,Stargazing,FRONT,Stargazing_Front.png,Resources/EventCards/Stargazing_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,Stop_The_Presses_Back.png,Resources/EventCards/Stop_The_Presses_Back.png,false,Ignored legacy hardware barcode
EVENT,18,Stop The Presses,FRONT,Stop_The_Presses_Front.png,Resources/EventCards/Stop_The_Presses_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,Tis_The_Season_Back.png,Resources/EventCards/Tis_The_Season_Back.png,false,Ignored legacy hardware barcode
EVENT,19,'Tis The Season,FRONT,Tis_The_Season_Front.png,Resources/EventCards/Tis_The_Season_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,Tornado_Alley_Back.png,Resources/EventCards/Tornado_Alley_Back.png,false,Ignored legacy hardware barcode
EVENT,20,Tornado Alley,FRONT,Tornado_Alley_Front.png,Resources/EventCards/Tornado_Alley_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,Total_Gridlock_Back.png,Resources/EventCards/Total_Gridlock_Back.png,false,Ignored legacy hardware barcode
EVENT,21,Total Gridlock,FRONT,Total_Gridlock_Front.png,Resources/EventCards/Total_Gridlock_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,What_A_Ride_Back.png,Resources/EventCards/What_A_Ride_Back.png,false,Ignored legacy hardware barcode
EVENT,22,What A Ride!,FRONT,What_A_Ride_Front.png,Resources/EventCards/What_A_Ride_Front.png,true,Preferred front display asset
EVENT,,,LEGACY_BACK,Wibble_Wobble_Back.png,Resources/EventCards/Wibble_Wobble_Back.png,false,Ignored legacy hardware barcode
EVENT,23,Wibble Wobble,FRONT,Wibble_Wobble_Front.png,Resources/EventCards/Wibble_Wobble_Front.png,true,Preferred front display asset
