edition_id,card_id,card_type,sequence,name,qr_payload,qr_asset,decode_status,error
,USR_01,USER,,Car,MUB:PL:CAR,Resources/Common/UserCards/01_Car_Back_QR.png,SUCCESS,
,USR_02,USER,,Helicopter,MUB:PL:HELICOPTER,Resources/Common/UserCards/02_Helicopter_Back_QR.png,SUCCESS,
,USR_03,USER,,Ship,MUB:PL:SHIP,Resources/Common/UserCards/03_Ship_Back_QR.png,SUCCESS,
,USR_04,USER,,Aeroplane,MUB:PL:AEROPLANE,Resources/Common/UserCards/04_Aeroplane_Back_QR.png,SUCCESS,
india,EVT_01,EVENT,,Advance to GO,MUB:E:E01,Resources/Editions/india/EventCards/E01_Advance_to_GO_Back_QR.png,SUCCESS,
india,EVT_02,EVENT,,Wrong Turn!,MUB:E:E02,Resources/Editions/india/EventCards/E02_Wrong_Turn_Back_QR.png,SUCCESS,
india,EVT_03,EVENT,,UPI Cashback,MUB:E:E03,Resources/Editions/india/EventCards/E03_UPI_Cashback_Back_QR.png,SUCCESS,
india,EVT_04,EVENT,,Income Tax Refund,MUB:E:E04,Resources/Editions/india/EventCards/E04_Income_Tax_Refund_Back_QR.png,SUCCESS,
india,EVT_05,EVENT,,Hospital Expense,MUB:E:E05,Resources/Editions/india/EventCards/E05_Hospital_Expense_Back_QR.png,SUCCESS,
india,EVT_06,EVENT,,Festival Contribution,MUB:E:E06,Resources/Editions/india/EventCards/E06_Festival_Contribution_Back_QR.png,SUCCESS,
india,EVT_07,EVENT,,Birthday Celebration,MUB:E:E07,Resources/Editions/india/EventCards/E07_Birthday_Celebration_Back_QR.png,SUCCESS,
india,EVT_08,EVENT,,Municipal Maintenance,MUB:E:E08,Resources/Editions/india/EventCards/E08_Municipal_Maintenance_Back_QR.png,SUCCESS,
india,EVT_09,EVENT,,Green Building Grant,MUB:E:E09,Resources/Editions/india/EventCards/E09_Green_Building_Grant_Back_QR.png,SUCCESS,
india,EVT_10,EVENT,,Rent Relief,MUB:E:E10,Resources/Editions/india/EventCards/E10_Rent_Relief_Back_QR.png,SUCCESS,
india,EVT_11,EVENT,,Get Out of Jail Pass,MUB:E:E11,Resources/Editions/india/EventCards/E11_Get_Out_of_Jail_Pass_Back_QR.png,SUCCESS,
india,EVT_12,EVENT,,Traffic Court,MUB:E:E12,Resources/Editions/india/EventCards/E12_Traffic_Court_Back_QR.png,SUCCESS,
india,EVT_13,EVENT,,Local Market Boom,MUB:E:E13,Resources/Editions/india/EventCards/E13_Local_Market_Boom_Back_QR.png,SUCCESS,
india,EVT_14,EVENT,,Market Correction,MUB:E:E14,Resources/Editions/india/EventCards/E14_Market_Correction_Back_QR.png,SUCCESS,
india,EVT_15,EVENT,,Lucky Draw,MUB:E:E15,Resources/Editions/india/EventCards/E15_Lucky_Draw_Back_QR.png,SUCCESS,
india,EVT_16,EVENT,,Community Development,MUB:E:E16,Resources/Editions/india/EventCards/E16_Community_Development_Back_QR.png,SUCCESS,
india,EVT_17,EVENT,,Lucky Break,MUB:E:E17,Resources/Editions/india/EventCards/E17_Lucky_Break_Back_QR.png,SUCCESS,
india,EVT_18,EVENT,,Metro Delay,MUB:E:E18,Resources/Editions/india/EventCards/E18_Metro_Delay_Back_QR.png,SUCCESS,
india,EVT_19,EVENT,,Eminent Domain,MUB:E:E19,Resources/Editions/india/EventCards/E19_Eminent_Domain_Back_QR.png,SUCCESS,
india,EVT_20,EVENT,,Economic Relief Grant,MUB:E:E20,Resources/Editions/india/EventCards/E20_Economic_Relief_Grant_Back_QR.png,SUCCESS,
india,EVT_21,EVENT,,Wrong Terminal,MUB:E:E21,Resources/Editions/india/EventCards/E21_Wrong_Terminal_Back_QR.png,SUCCESS,
india,EVT_22,EVENT,,Cloud Storage Subscription Renewal,MUB:E:E22,Resources/Editions/india/EventCards/E22_Cloud_Storage_Subscription_Renewal_Back_QR.png,SUCCESS,
india,EVT_23,EVENT,,Beauty Contest Winner,MUB:E:E23,Resources/Editions/india/EventCards/E23_Beauty_Contest_Winner_Back_QR.png,SUCCESS,
india,EVT_24,EVENT,,Second Wind,MUB:E:E24,Resources/Editions/india/EventCards/E24_Second_Wind_Back_QR.png,SUCCESS,
india,EVT_25,EVENT,,Green Energy Rebate,MUB:E:E25,Resources/Editions/india/EventCards/E25_Green_Energy_Rebate_Back_QR.png,SUCCESS,
india,PRP_01,PROPERTY,,Cubbon Park,MUB:P:01,Resources/Editions/india/PropertyCards/01_Property_Back_QR.png,SUCCESS,
india,PRP_02,PROPERTY,,Lodhi Garden,MUB:P:02,Resources/Editions/india/PropertyCards/02_Property_Back_QR.png,SUCCESS,
